Pitch,Roll,Yaw,x,y,z
88.304635,90.166821,91.807153,563.718243,820.721087,203.196118
90.721356,90.116708,88.110436,1804.797611,491.618055,206.691745
89.082376,89.567835,88.238655,1603.627989,875.154637,190.314637
89.866747,90.352134,90.998340,1415.171322,288.247496,196.550240
88.971090,88.213331,90.457473,1075.194871,319.890894,193.447539
89.644528,88.438988,91.955133,183.098000,294.856188,202.777603
88.205904,90.689625,89.179805,479.260935,548.397475,194.620290
89.484202,89.816624,88.419524,785.394783,250.312546,190.157334
91.287603,91.470544,91.583064,682.870447,571.591577,199.384139
89.619274,89.484636,90.507389,1599.611674,469.570327,203.374088
89.228703,89.312880,91.129907,233.500746,470.145554,200.170948
91.087101,89.797515,91.879117,1056.253857,594.645692,194.564904
90.838604,87.750891,89.396066,882.053751,134.699478,208.487964
89.086759,88.988549,90.271790,395.855924,364.785077,198.881137
87.787156,90.397610,90.935959,1230.490046,755.408368,196.184068
88.888200,89.767806,91.504145,1608.355405,854.781566,208.170090
90.586320,87.960159,90.844352,1379.826315,317.483042,207.888750
90.228094,89.987612,89.779118,707.381815,561.552838,209.634376
90.114549,88.572963,91.570243,131.739464,642.509525,203.735082
90.686839,90.661544,91.800950,109.559631,394.089712,190.731946
90.011295,89.372454,88.163030,1135.972009,805.445097,196.080897
89.959649,89.497113,90.528624,409.765557,813.658429,209.430603
89.229754,91.733598,88.074141,871.669368,827.426993,200.554908
90.962437,90.221675,90.461835,141.767317,132.108036,209.013300
89.669728,90.128133,88.275072,1763.183802,686.327823,208.745826
91.717786,88.744201,88.807013,326.242885,655.431325,198.477422
91.118722,90.917731,88.729527,168.951081,426.124466,203.929642
90.651582,90.871504,90.523292,185.329014,580.132656,191.936487
89.573568,90.716927,90.728222,369.734449,779.539352,196.154689
90.274023,90.080449,91.194919,1134.482344,273.675526,207.221437
88.694084,91.103444,89.156928,1778.798782,465.182576,201.026114
89.977463,86.707871,90.738753,542.007372,882.974001,194.023930
90.985707,91.265491,91.135724,998.853390,839.696831,209.003192
90.104727,89.413211,90.964246,1591.251632,372.741022,209.116756
88.903654,89.570291,89.977455,376.041284,441.394930,200.960538
88.102672,91.596423,90.200889,1540.856416,830.132717,208.592356
89.366679,89.602382,89.860354,869.566093,567.839893,195.757457
89.267001,90.688912,91.060183,458.579882,752.817648,208.737898
90.424031,91.184195,91.563724,670.084586,128.443494,191.235399
91.030822,90.235734,88.930936,1385.696521,948.552522,207.953149
90.052564,89.718363,90.845550,789.045201,810.425680,201.358112
89.196313,90.618003,90.280319,193.230065,844.617652,204.634268
88.439506,90.732709,91.360532,1427.857078,321.834494,192.511471
90.002317,93.114065,89.527789,1116.194598,374.312120,193.497986
91.355579,91.526895,90.382748,1525.730436,185.301118,206.096097
91.273498,90.902181,91.643827,1399.028430,312.477836,200.980655
90.615956,90.114852,89.408996,356.934250,488.332437,190.709446
90.613346,90.677529,88.314039,1379.420869,667.685881,190.667650
90.481314,90.624418,88.909965,297.057231,520.677812,205.779475
90.944317,89.817633,90.126403,854.334354,188.856228,209.888736
89.833251,89.552156,90.010595,1645.508634,939.825418,202.481903
88.968919,89.502350,91.356262,843.563191,709.072498,194.341541
89.831065,89.678846,89.411695,158.152737,807.980441,199.446043
88.729647,90.309331,90.975219,563.602451,954.843827,205.218460
89.801384,90.501083,88.054016,106.224827,969.865064,204.881905
90.342135,89.273942,89.368165,1286.007174,460.871638,200.320269
90.176122,90.554309,88.454013,653.083642,242.508355,198.493210
89.359037,89.824686,88.121221,1625.465148,581.753188,201.370690
91.161567,88.344780,89.288965,1004.069065,199.224993,209.484199
90.111660,89.631338,91.961411,1056.755227,194.866796,195.251712
89.401153,89.896227,91.021773,485.446174,167.243706,193.534182
89.927484,88.885543,90.010327,316.933156,344.232616,201.570563
89.811522,88.238898,91.099981,1600.578564,757.002761,203.557555
89.660005,88.356905,90.312195,1058.342940,761.758801,209.344783
91.811763,88.750049,88.065310,320.576657,967.410489,203.740832
89.757831,88.206312,89.775709,1750.642817,155.117250,199.137619
88.396739,90.084880,88.581563,1032.910869,593.779841,195.472854
87.571848,89.791319,90.091723,1758.585111,755.426473,193.293313
90.065873,89.231885,90.485340,1666.281382,569.753419,197.707972
90.777578,89.148328,89.193387,1533.628489,491.309030,209.847886
90.781276,88.508094,90.159008,828.247674,954.383177,191.448042
91.329168,90.397479,90.788768,1475.329881,257.798782,198.524154
